time (us), m_acc_x, m_acc_y, m_acc_z, m_mag_x, m_gyr_y, m_gyr_z, m_mag_x, m_mag_y, m_mag_z, l_acc_x, l_acc_y, l_acc_z, l_gyr_x, l_gyr_y, l_gyr_z, l_mag_x, l_mag_y, l_mag_z
7803922, -0.071826, +0.268151, +9.686940, -0.027670, -0.011706, +0.001064, +68.982422, +1.434375, +35.486719, -0.086142, +0.093320, +9.655039, -0.046426, -0.002443, +0.041539, +52.954000, -36.946000, +56.550000,
7904986, +0.033519, +0.287304, +9.739612, -0.027670, -0.009578, +0.003193, +68.625000, +0.000000, +36.520313, -0.093320, +0.114855, +9.568898, -0.045204, -0.009774, +0.040317, +52.780000, -37.062000, +57.188000,
8006051, -0.047884, +0.282516, +9.682152, -0.027670, -0.014899, +0.003193, +68.982422, +2.151562, +35.486719, -0.057428, +0.100499, +9.626325, -0.039095, -0.010996, +0.040317, +53.186000, -37.700000, +57.072000,
8107113, -0.167594, +0.378284, +9.773131, -0.023413, -0.010642, +0.001064, +68.982422, +2.151562, +35.486719, -0.086142, +0.122034, +9.662218, -0.042761, -0.007330, +0.035430, +53.360000, -37.526000, +57.246000,
8208205, -0.086191, +0.263362, +9.619902, -0.026606, -0.010642, -0.001064, +68.982422, +2.151562, +35.486719, -0.100499, +0.222533, +9.626325, -0.040317, -0.007330, +0.034208, +53.592000, -37.236000, +57.246000,
8309289, +0.047884, +0.272939, +9.701305, -0.028734, -0.012771, +0.003193, +68.625000, +0.717187, +37.898438, -0.064606, +0.129212, +9.633504, -0.042761, -0.006109, +0.036652, +53.012000, -37.236000, +56.202000,
8410369, -0.143652, +0.287304, +9.753978, -0.027670, -0.010642, +0.003193, +68.625000, +0.717187, +37.898438, +0.014357, +0.193819, +9.690932, -0.047647, -0.006109, +0.039095, +53.708000, -37.178000, +56.898000,
8511462, -0.076614, +0.220267, +9.639056, -0.025541, -0.013835, -0.001064, +68.088867, -0.179297, +36.003516, -0.107677, +0.086142, +9.647861, -0.039095, -0.009774, +0.036652, +53.302000, -37.004000, +56.782000,
8612531, -0.014365, +0.296881, +9.753978, -0.026606, -0.012771, +0.002128, +68.088867, -0.179297, +36.003516, -0.021535, +0.114855, +9.640682, -0.039095, -0.006109, +0.041539, +53.534000, -36.714000, +56.144000,
8713622, +0.004788, +0.282516, +9.710882, -0.024477, -0.012771, +0.000000, +68.088867, -0.179297, +36.003516, -0.071785, +0.122034, +9.597611, -0.040317, -0.003665, +0.034208, +53.360000, -36.772000, +56.782000,
8814687, -0.100556, +0.258574, +9.730036, -0.027670, -0.008514, +0.001064, +69.518555, +0.537891, +36.692578, -0.071785, +0.078963, +9.662218, -0.040317, -0.013439, +0.042761, +53.940000, -37.352000, +55.912000,
8915785, -0.033519, +0.277727, +9.730036, -0.024477, -0.011706, +0.003193, +69.518555, +0.537891, +36.692578, -0.078963, +0.122034, +9.583255, -0.046426, -0.008552, +0.037874, +53.418000, -37.004000, +55.158000,
9016843, +0.028730, +0.268151, +9.758766, -0.022349, -0.013835, +0.000000, +70.054688, +1.075781, +36.864844, -0.043071, +0.100499, +9.640682, -0.050091, -0.003665, +0.035430, +53.418000, -37.120000, +56.724000,
9117941, -0.057461, +0.411803, +9.691728, -0.026606, -0.014899, -0.001064, +70.054688, +1.075781, +36.864844, -0.150748, +0.136391, +9.626325, -0.043982, -0.012217, +0.034208, +53.302000, -36.714000, +56.376000,
9219014, -0.052672, +0.320823, +9.773131, -0.027670, -0.014899, +0.003193, +67.731445, +0.896484, +36.692578, -0.028714, +0.172283, +9.647861, -0.041539, -0.002443, +0.039095, +52.838000, -36.946000, +56.260000,
9320095, -0.028730, +0.263362, +9.701305, -0.028734, -0.010642, -0.002128, +67.731445, +0.896484, +36.692578, -0.100499, +0.215354, +9.619147, -0.041539, -0.010996, +0.041539, +53.476000, -36.946000, +56.608000,
9421182, -0.100556, +0.296881, +9.801862, -0.023413, -0.013835, +0.005321, +67.731445, +0.896484, +36.692578, -0.122034, +0.093320, +9.755538, -0.039095, -0.002443, +0.041539, +53.070000, -37.352000, +56.260000,
9522307, -0.038307, +0.292093, +9.696517, -0.026606, -0.014899, +0.003193, +67.195312, +0.000000, +35.142187, -0.057428, +0.021535, +9.655039, -0.042761, -0.007330, +0.042761, +53.128000, -37.062000, +56.608000,
9623506, -0.067038, +0.234632, +9.720459, -0.025541, -0.014899, +0.002128, +69.518555, +1.255078, +36.003516, -0.064606, +0.136391, +9.604790, -0.045204, -0.015882, +0.032987, +53.070000, -37.120000, +57.478000,
9724717, -0.076614, +0.239420, +9.619902, -0.025541, -0.012771, +0.002128, +68.982422, +2.510156, +36.520313, -0.114855, +0.114855, +9.633504, -0.039095, -0.010996, +0.039095, +53.244000, -37.004000, +56.666000,
9825819, -0.067038, +0.263362, +9.758766, -0.028734, -0.014899, +0.002128, +68.982422, +2.510156, +36.520313, -0.078963, +0.143569, +9.655039, -0.043982, -0.008552, +0.037874, +53.244000, -36.366000, +57.188000,
9926909, +0.000000, +0.330400, +9.763554, -0.027670, -0.011706, +0.000000, +68.982422, +2.510156, +36.520313, -0.028714, +0.208176, +9.683753, -0.043982, -0.009774, +0.039095, +53.418000, -37.062000, +56.666000,
10028036, -0.014365, +0.301669, +9.710882, -0.025541, -0.009578, -0.001064, +69.339844, +2.151562, +37.898438, -0.057428, +0.136391, +9.655039, -0.046426, -0.008552, +0.037874, +53.824000, -36.888000, +56.144000,
10129119, -0.038307, +0.253785, +9.696517, -0.028734, -0.012771, +0.001064, +69.161133, +0.537891, +35.658984, -0.064606, +0.157926, +9.683753, -0.046426, +0.003665, +0.040317, +53.708000, -37.236000, +56.434000,
10230201, -0.090980, +0.263362, +9.739612, -0.029798, -0.012771, +0.002128, +68.982422, +1.075781, +37.898438, -0.093320, +0.165105, +9.590433, -0.042761, -0.007330, +0.046426, +53.940000, -37.410000, +55.912000,
